publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Society and Animals","1063-1119","1568-5306",1993-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685306",,"","","full text","","Brill"
"Southeastern Europe ","0094-4467","1876-3332",1974-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18763332",,"","","full text","2000-2001 content no digitised","Brill"
"Terrestrial Arthropod Reviews ","1874-9828","1874-9836",2008-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18749836",,"","","full text","","Brill"
"The China Nonprofit Review","1876-5092","1876-5149",2009-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18765149",,"","","full text","","Brill"
"The Hague Journal of Diplomacy ","1871-1901","1871-191X",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1871191x",,"","","full text","","Brill"
"The International Journal of Children's Rights ","0927-5568","1571-8182",1993-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718182",,"","","full text","","Brill"
"The International Journal of Marine and Coastal Law ","0927-3522","1571-8085",1986-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718085",,"","","full text","","Brill"
"The Journal of Jewish Thought and Philosophy ","1053-699X","1477-285X",1992-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1477285x",,"","","full text","","Brill"
"The Law and Practice of International Courts and Tribunals ","1569-1853","1571-8034",2002-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718034",,"","","full text","","Brill"
"The Legal History Review ","0040-7585","1571-8190",1920-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15718190",,"","","full text","","Brill"
"The Soviet and Post Soviet Review ","1075-1262","1876-3324",1974-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18763324",,"","","full text","","Brill"
"The Yearbook of Polar Law Online  ","","2211-6427",,,,,,,"http://booksandjournals.brillonline.com/content/22116427",,"","","full text","no online content yet available","Brill"
"Tijdschrift voor Entomologie ","0040-7496","2211-9434",2001-01-01,144,2,,,,"http://booksandjournals.brillonline.com/content/22119434",,"","","full text","","Brill"
"Tilburg Law Revew  ","2211-0046","2211-2596",1991-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22112596",,"","","full text","","Brill"
"T'oung Pao","0082-5433","1568-5322",1900-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685322",,"","","full text","","Brill"
"Turkish Historical Review ","1877-5454","1877-5462",2010-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18775462",,"","","full text","","Brill"
"Vetus Testamentum","0042-4935","1568-5330",1951-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685330",,"","","full text","","Brill"
"Vigiliae Christianae","0042-6032","1570-0720",1947-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700720",,"","","full text","","Brill"
"Vivarium","0042-7543","1568-5349",1963-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685349",,"","","full text","","Brill"
"Die Welt des Islams","0043-2539","1570-0607",1951-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700607",,"","","full text","","Brill"
"Worldviews","1363-5247","1568-5357",1997-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685357",,"","","full text","","Brill"
"Zeitschrift für Religions- und Geistesgeschichte","0044-3441","1570-0739",1948-01-01,1,01-Apr,,,,"http://booksandjournals.brillonline.com/content/15700739",,"","","full text","","Brill"
"International Human Rights Law Review","2213-1027","2213-1035",2012-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22131035",,"","","full text","","Brill"
"International Journal of Chinese Education ","2212-585X","2212-5868",2012-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22125868",,"","","full text","","Brill"
